trace_id,label,reason_code
traj_001,0,missing_param_error
traj_002,0,requery_after_set
traj_003,2,clean_success
traj_004,1,wrong_value_150
traj_005,1,correct_value_wrong_logic
traj_006,2,clean_success
traj_007,1,wrong_initial_value_50
traj_008,0,missing_param_error
traj_009,2,clean_success
traj_010,0,requery_after_set
traj_011,1,wrong_value_200
traj_012,2,clean_success
traj_013,0,wrong_param_name_threshold
traj_014,2,clean_success
traj_015,1,extra_param_breaks_validation
traj_016,1,type_error_string
traj_017,2,clean_success
traj_018,0,multiple_requeries
traj_019,2,clean_success
traj_020,1,off_by_one_99
traj_021,2,clean_success
traj_022,0,config_never_set
traj_023,2,clean_success
traj_024,1,off_by_one_101
traj_025,2,clean_success
traj_026,0,no_validation_call
traj_027,2,clean_success
traj_028,2,clean_success_with_config_id
traj_029,1,zero_value
traj_030,2,clean_success
traj_031,1,negative_value
traj_032,2,clean_success
traj_033,0,wrong_param_name_max_limit
traj_034,2,clean_success
traj_035,0,requery_different_tool
