trace_id,label,reason_code
traj_036,2,clean_success
traj_037,0,missing_param_error
traj_038,1,mismatch_75_ambiguous
traj_039,0,requery_after_set
traj_040,2,clean_success
traj_041,1,mismatch_250_ambiguous
traj_042,0,no_validation_call
traj_043,2,clean_success
traj_044,0,wrong_param_name_rate_limit
traj_045,1,mismatch_102_ambiguous
traj_046,2,clean_success
traj_047,1,mismatch_despite_success_seq
traj_048,1,conversation_ignored_80
traj_049,0,missing_param_error
traj_050,2,clean_success
traj_051,0,requery_different_tool
traj_052,1,mismatch_500_ambiguous
traj_053,2,clean_success
traj_054,0,config_never_set
traj_055,1,mismatch_98_ambiguous
traj_056,2,clean_success
traj_057,1,mismatch_1000_magnitude
traj_058,0,requery_after_set
traj_059,2,clean_success
traj_060,1,mismatch_10_magnitude
traj_061,0,missing_param_error
traj_062,2,clean_success
traj_063,0,wrong_param_name_value
traj_064,1,mismatch_105_ambiguous
traj_065,2,clean_success
traj_066,0,no_validation_call
traj_067,1,mismatch_120_ambiguous
traj_068,2,clean_success
traj_069,0,multiple_requeries
traj_070,1,mismatch_despite_success_seq
traj_071,2,clean_success
traj_072,1,conversation_ignored_60
traj_073,0,missing_param_error
traj_074,2,clean_success
traj_075,1,mismatch_95_ambiguous
traj_076,0,requery_different_tool
traj_077,2,clean_success
traj_078,1,mismatch_300_ambiguous
traj_079,2,clean_success_with_context
traj_080,0,no_validation_call
traj_081,2,clean_success
traj_082,0,wrong_param_name_api_limit
traj_083,1,mismatch_110_ambiguous
traj_084,2,clean_success
traj_085,1,mismatch_despite_success_seq
traj_086,0,requery_after_set
traj_087,2,clean_success
traj_088,1,mismatch_90_ambiguous
traj_089,0,missing_param_error
traj_090,2,clean_success
traj_091,1,mismatch_200_ambiguous
traj_092,2,clean_success
traj_093,1,conversation_ignored_150
traj_094,0,missing_param_error
traj_095,2,clean_success
traj_096,1,mismatch_85_ambiguous
traj_097,2,clean_success
traj_098,1,mismatch_115_ambiguous
traj_099,2,clean_success
traj_100,0,no_validation_call
